id,year,year_end,year_label,era,area_code,region,category,title,importance,summary
1,-6500,,BC6500頃,先史,MESO,メソポタミア,CIV,メソポタミア文明,5,都市・楔形文字・灌漑農業の起源
2,-5000,,BC5000頃,先史,CHN,黄河流域,CIV,黄河文明,5,中国文明の母体
3,-5000,,BC5000頃,先史,EGY,エジプト,CIV,エジプト文明,5,ナイルの賜物・統一王朝へ
4,-2500,,BC2500頃,先史,IND,インダス川流域,CIV,インダス文明,5,モヘンジョダロ・計画都市
5,-2000,,BC2000頃,先史,GRC,エーゲ海,CIV,ミケーネ文明,4,エーゲ文明・青銅器
6,-1975,,BC1975頃,先史,MESO,アッシリア,POL,古アッシリア王国(プズル・アッシュル1世),3,アッシュル中心の交易国家
7,-1813,,BC1813頃,先史,MESO,アッシリア,WAR,シャムシ・アダド1世 アッシリア征服,3,
8,-1600,,BC1600頃,先史,GRC,クレタ島,CIV,クレタ(ミノア)文明,4,宮殿文化・線文字A
9,-1430,,BC1430頃,先史,ANAT,アナトリア,POL,ヒッタイト新王国,4,鉄器を独占的に使用
10,-1285,,BC1285頃,先史,LEV,シリア,WAR,カデシュの戦い,3,ヒッタイト対エジプト・史上初の和平条約
11,-722,-221,BC722,古代,CHN,中国,POL,春秋戦国時代,4,鉄製農具・灌漑・諸子百家(法家)
12,-700,,BC7世紀,古代,JPN,日本,CIV,稲作集落・鉄器武装集団の形成,3,神武天皇伝承の背景
13,-660,,前660,古代,JPN,日本,POL,神武天皇即位(伝承),3,日本建国神話の起点
14,-626,,前626,古代,MESO,バビロニア,POL,新バビロニア帝国成立,4,
15,-612,,BC612,古代,MESO,アッシリア,POL,アッシリア滅亡 4王国分立,4,メディア・リディア・エジプト・新バビロニア
16,-597,,前597,古代,LEV,ユダ王国,WAR,エルサレム陥落 バビロン捕囚,4,ネブカドネザル2世
17,-550,,前550,古代,PER,ペルシア,POL,アケメネス朝ペルシア成立,5,キュロス2世・初の世界帝国
18,-538,,前538,古代,MESO,バビロン,POL,キュロスの勅命 捕囚民解放,3,
19,-509,,BC509,古代,ITA,ローマ,POL,ローマ共和政成立,4,
20,-500,,BC500頃,古代,WORLD,ユーラシア,THT,枢軸時代,5,孔子・釈迦・ゾロアスター 普遍思想の同時多発
21,-492,-449,BC492,古代,GRC,ギリシア,WAR,ペルシア戦争,4,サラミスの海戦(BC480)
22,-431,-404,BC431,古代,GRC,ギリシア,WAR,ペロポネソス戦争,3,アテネ対スパルタ
23,-334,-323,BC334,古代,GRC,マケドニア,WAR,アレクサンドロス東方遠征,5,ヘレニズム時代の幕開け
24,-330,,BC330,古代,PER,ペルシア,POL,アケメネス朝滅亡,4,
25,-317,,BC317頃,古代,IND,インド,POL,マウリヤ朝成立,4,チャンドラグプタ・初のインド統一
26,-268,,BC268頃,古代,IND,インド,REL,アショーカ王 仏教保護,4,仏教の対外伝播が始まる
27,-264,-146,BC264,古代,ITA,ローマ,WAR,ポエニ戦争,4,ローマ対カルタゴ・地中海制覇
28,-221,,BC221,古代,CHN,中国,POL,秦・始皇帝 中国統一,5,中央集権・度量衡統一
29,-206,,BC206,古代,CHN,中国,POL,前漢成立(劉邦),4,
30,-139,,BC139,古代,CHN,中央アジア,ECO,張騫 西域派遣,4,シルクロード交易の本格化
31,-108,,BC108,古代,KOR,朝鮮,POL,楽浪郡設置,2,漢の朝鮮進出
32,-27,,BC27,古代,ITA,ローマ,POL,ローマ帝政開始(アウグストゥス),5,共和政から帝国へ
33,-4,,BC4頃,古代,LEV,パレスチナ,REL,イエス・キリスト誕生,5,キリスト教の起点
34,25,,AD25,古代,CHN,中国,POL,後漢成立(光武帝),3,
35,57,,AD57,古代,JPN,日本,POL,倭奴国王 金印「漢委奴国王」,3,日本の対外交渉の最古記録
36,96,180,AD96,古代,ITA,ローマ,POL,五賢帝時代,4,パクス・ロマーナ・帝国最盛期
37,105,,AD105,古代,CHN,中国,TEC,蔡倫 製紙法を改良,4,紙の普及・情報伝達革命
38,184,,AD184,古代,CHN,中国,WAR,黄巾の乱,3,後漢衰退の引き金
39,220,280,AD220,古代,CHN,中国,POL,後漢滅亡 三国時代,3,魏・呉・蜀
40,239,,AD239,古代,JPN,日本,POL,卑弥呼 魏に遣使「親魏倭王」,3,邪馬台国
41,313,,AD313,古代,ITA,ローマ,REL,ミラノ勅令 キリスト教公認,5,コンスタンティヌス帝
42,325,,AD325,古代,ANAT,ニケーア,REL,ニケーア公会議,3,教義の統一(三位一体)
43,375,,AD375,古代,EUR_C,ヨーロッパ,POL,ゲルマン民族大移動,4,古代世界の解体
44,392,,AD392,古代,ITA,ローマ,REL,キリスト教 ローマ国教化,4,
45,395,,AD395,古代,ITA,ローマ,POL,ローマ帝国 東西分裂,4,
46,476,,AD476,古代,ITA,西ローマ,POL,西ローマ帝国滅亡,5,古代の終焉・中世へ
47,481,,481,中世,EUR_W,フランク,POL,フランク王国成立(クローヴィス),4,メロヴィング朝
48,527,,527,中世,ANAT,東ローマ,POL,ユスティニアヌス帝即位,3,ビザンツ最盛期・ローマ法大全
49,538,,538(552),中世,JPN,日本,REL,仏教公伝,4,日本への仏教伝来
